	beer_name	abv	brewery	type
298	3Bs IPA	?	Boneyard Beer Company	American IPA
299	Happy Dankday To Us	9.10	Three Magnets Brewing	American Imperial IPA
300	Midnite Vultures	6.00	Burlington Beer Co.	American IPA
301	Chebeague Island	6.50	Rising Tide Brewing Company	American IPA
302	Thunder Stud	8.30	Resident Culture Brewing Company	American Imperial IPA
303	Kriek	6.50	Brouwerij Hof Ten Dormaal	Belgian Fruit Lambic
304	Bourbon Barrel Furious Ginger	11.00	Witch's Hat Brewing Co.	American Imperial Stout
305	Orion Ryukyu White Ale	5.00	Orion Beer Co., Ltd.	Belgian Witbier
306	The Shady Knoll Lurker	6.40	Oddwood Ales	American IPA
307	Oud Bruin	9.50	Les Bières du Crépuscule	Flanders Oud Bruin
308	Damn, It Feels Good To Be A Gangsta!	8.10	Trinity Brewing Company	American Wild Ale
309	Feral One Batch 2	6.70	Firestone Walker Brewing Co.	American Wild Ale
310	Blueberry Sour	4.00	Kiitos Brewing	American Wild Ale
311	The Space In Between	5.00	Lawson's Finest Liquids	American IPA
312	Birra Roma Marzen	5.50	Birradamare SRL	German Märzen / Oktoberfest
313	Hazy New England India Pale Ale	5.20	KYKAO - Handcrafted	New England IPA
314	Session Pale Ale	4.50	Fremont Brewing Company	American Pale Ale (APA)
315	I Am Brut Blanc	6.20	Old Ox Brewery	American Brut IPA
316	Brain Haze	9.00	Variant Brewing Company	American IPA
317	Winterbock	?	Kulturbrauerei Heidelberg	German Bock
318	Practical Romance	7.00	Dancing Gnome	American IPA
319	Pop That Chocolate Covered Cherry	10.00	Pipe Dream Brewing	American Stout
320	Musa	7.70	Platform Beer Co.	New England IPA
321	Savant Blanc	8.00	Perennial Artisan Ales	American Wild Ale
322	Burro De Sancho Rubia	5.00	Daviyun (Cerveza SAGRA)	American Blonde Ale
323	SHB: DDH Galaxy	7.00	Narrow Gauge Brewing Company	American IPA
324	Zwarte Zwaan (Brugs Bierinstituut)	8.00	De Proefbrouwerij (bvba Andelot)	English Sweet / Milk Stout
325	Luponic Distortion: Revolution No. 006	5.90	Firestone Walker Brewing Co.	American IPA
326	Dunks Ferry Dunkelweizen	5.20	Neshaminy Creek Brewing Company	German Dunkelweizen
327	Bring Out Your Dead (Cacao & Hazelnut)	11.40	Bellwoods Brewery	American Imperial Stout
328	Die HerzMaschine	5.20	Foreign Objects Beer Company	German Kellerbier / Zwickelbier
329	Frieze DDH Milkshake IPA	7.50	Urban South Brewery	New England IPA
330	Fathead Barleywine	11.30	Nebraska Brewing Company	American Barleywine
331	Kowloon Kooler	7.20	Cellarmaker Brewing Co.	American IPA
332	Escanaba Black Beer	4.50	Upper Hand Brewery	American Black Ale
333	Maple Barrel Aged Fayston Maple Imperial Stout	11.00	Lawson's Finest Liquids	American Imperial Stout
334	Matt Porter	?	Denali Brewing Company / Twister Creek Restaurant	English Porter
335	Coconut Jones Dog	8.50	Pipeworks Brewing Company	English Sweet / Milk Stout
336	Chasing Rainbows Four	5.90	Bearded Iris Brewing	American IPA
337	Dem Beetuz Boiz: Type 2	11.20	The Answer Brewpub	English Sweet / Milk Stout
338	Elevator Bleeding Buckeye Red Ale	5.70	Elevator Brewery & Draught Haus	English Extra Special / Strong Bitter (ESB)
339	Evil Twin Brazil - Ich Bin Ein Berliner	4.50	Cervejaria Tupiniquim	Berliner Weisse
340	Frooted Sweet Cherries, Tart Cherries, and Pomegranate	4.00	More Brewing Co.	Fruit and Field Beer
341	Butterfly Flashmob	7.00	Solemn Oath Brewery	Belgian IPA
342	Downhill Dunkelweizen	4.00	Desert Edge Brewery	German Dunkelweizen
343	Danzig Baltic Porter	8.00	Devils Backbone Brewing Company	Baltic Porter
344	Miami Haze	6.40	MIA Beer Co.	Belgian IPA
345	Oasis Brut IPA	7.00	Mayflower Brewing Company	American Brut IPA
346	Locals Only	7.10	Monday Night Brewing	American IPA
347	You Can Feel The Love In This Room	7.20	Woodland Empire Ale Craft	American IPA
348	Tradition	5.50	Herrnbräu Bürgerliches Brauhaus Ingolstadt	German Märzen / Oktoberfest
349	IPA - Mandarina Bavaria & Triskel	6.80	Bellwoods Brewery	American IPA
350	Cuvee De Tetreault	11.00	Trillium Brewing Company	American Wild Ale
351	Turtle Power Grapefruit Pale Ale	6.00	Evil Genius Beer Company	American Pale Ale (APA)
352	Electric Bloom	5.40	Lamplighter Brewing Company	American Pale Ale (APA)
353	Midnight Pig Hook & Hatchet	5.00	Nevin's Brewing Company	Vienna Lager
354	Easy Jack Session IPA	4.50	Firestone Walker Brewing Co.	American IPA
355	Ten	10.00	Funkwerks	Belgian Quadrupel (Quad)
356	Sea Dog Riverdriver Hazelnut Porter	5.60	Sea Dog Brewing Company	American Porter
357	Chillin' Out Maxin'	7.50	Hop Butcher For The World	American IPA
358	Unfiltered Sculpin IPA	7.00	Ballast Point Brewing Company	American IPA
359	Toddy	?	Plan Bee Farm Brewery	American Wild Ale
360	Brutality	7.70	Cervejaria Dogma	American Brut IPA
361	Grapefruit Rose	4.30	Deschutes Brewery	American Wild Ale
362	Northern Lights	2.80	Whiplash	American IPA
